dataset,label,accurcy,roc_auc
Yoga,1,0.4643333333333333,0.5544948495701014
Yoga,2,0.5356666666666666,0.5438459968077565
WormsTwoClass,1,0.5714285714285714,0.5
WormsTwoClass,2,0.5714285714285714,0.5
Wine,1,0.5,0.45816186556927296
Wine,2,0.5,0.5
Wafer,-1,0.10788449059052563,0.6746420059969892
Wafer,1,0.8921155094094744,0.1427748312406767
TwoLeadECG,1,0.4995610184372256,0.5
TwoLeadECG,2,0.4995610184372256,0.5
Strawberry,1,0.3567567567567568,0.48599439775910364
Strawberry,2,0.6432432432432432,0.23653552330022917
SemgHandGenderCh2,1,0.65,0.5
SemgHandGenderCh2,2,0.35,0.5
BeetleFly,1,0.5,0.5
BeetleFly,2,0.5,0.5
BirdChicken,1,0.5,0.5
BirdChicken,2,0.5,0.5
Computers,1,0.5,0.5050239999999999
Computers,2,0.5,0.408128
DistalPhalanxOutlineCorrect,0,0.4166666666666667,0.6263029975695382
DistalPhalanxOutlineCorrect,1,0.5833333333333334,0.41296246286794497
Earthquakes,0,0.7266187050359713,0.5994505494505494
Earthquakes,1,0.2517985611510791,0.4684065934065934
ECG200,-1,0.36,0.5694444444444445
ECG200,1,0.65,0.48220486111111116
ECGFiveDays,1,0.49709639953542395,0.30758023785370486
ECGFiveDays,2,0.502903600464576,0.6123869547387278
FordA,-1,0.5159090909090909,0.46604344618863447
FordA,1,0.48409090909090907,0.6509321880048442
FordB,-1,0.49506172839506174,0.4895889859702821
FordB,1,0.5049382716049383,0.5459700382296093
HandOutlines,0,0.35945945945945945,0.5
HandOutlines,1,0.6405405405405405,0.5
ItalyPowerDemand,1,0.49854227405247814,0.46216963597624555
ItalyPowerDemand,2,0.5014577259475219,0.12137902896776825
MiddlePhalanxOutlineCorrect,0,0.42955326460481097,0.4410602409638555
MiddlePhalanxOutlineCorrect,1,0.570446735395189,0.3493975903614458
Chinatown,1,0.27405247813411077,0.5
Chinatown,2,0.7259475218658892,0.5
FreezerRegularTrain,1,0.5080701754385964,0.7757675592489996
FreezerRegularTrain,2,0.4982456140350877,0.1934665435518621
FreezerSmallTrain,1,0.5,0.49964912280701756
FreezerSmallTrain,2,0.6298245614035087,0.6382165589412127
GunPointAgeSpan,1,0.4936708860759494,0.5
GunPointAgeSpan,2,0.4936708860759494,0.5
GunPointMaleVersusFemale,1,0.47468354430379744,0.5
GunPointMaleVersusFemale,2,0.47468354430379744,0.5
GunPointOldVersusYoung,1,0.47619047619047616,0.5
GunPointOldVersusYoung,2,0.5238095238095238,0.5
PowerCons,1,0.4444444444444444,0.17407407407407405
PowerCons,2,0.5,0.5
Coffee,0,0.5357142857142857,0.5
Coffee,1,0.4642857142857143,0.08717948717948718
Ham,1,0.4857142857142857,0.4386347131445171
Ham,2,0.5142857142857142,0.3395061728395061
Herring,1,0.59375,0.5
Herring,2,0.40625,0.5
Lightning2,-1,0.5409836065573771,0.5
Lightning2,1,0.5409836065573771,0.24567099567099568
MoteStrain,1,0.5391373801916933,0.7099120611079016
MoteStrain,2,0.5407348242811502,0.5018627639771487
PhalangesOutlinesCorrect,0,0.38694638694638694,0.4919373310733428
PhalangesOutlinesCorrect,1,0.6130536130536131,0.4272470108571167
ProximalPhalanxOutlineCorrect,0,0.3161512027491409,0.5358313305658728
ProximalPhalanxOutlineCorrect,1,0.6838487972508591,0.24431942320297137
ShapeletSim,0,0.5,0.5
ShapeletSim,1,0.5,0.5
SonyAIBORobotSurface1,1,0.5707154742096506,0.5
SonyAIBORobotSurface1,2,0.4292845257903494,0.47674418604651164
SonyAIBORobotSurface2,1,0.3830010493179433,0.68633864504706
SonyAIBORobotSurface2,2,0.6169989506820567,0.47903037927499764
ToeSegmentation1,0,0.5657894736842105,0.6408179012345678
ToeSegmentation1,1,0.5263157894736842,0.5
ToeSegmentation2,0,0.8153846153846154,0.5640723270440251
ToeSegmentation2,1,0.18461538461538463,0.5
HouseTwenty,1,0.42016806722689076,0.5
HouseTwenty,2,0.42016806722689076,0.5
